100

H 5.67403 0.541338 0.739598
H 4.12631 2.42229 0.453183
H 8.33702 0.311337 6.29322
H 8.72454 0.343853 5.57744
H 8.91481 3.85535 2.60862
H 4.47282 2.69782 5.285
H 5.78563 8.35586 5.24753
H 3.82576 4.93577 9.89052
H 3.17165 8.00343 0.651328
H 4.71841 9.89031 6.64784
H 5.55163 0.238539 9.09711
H 7.87818 0.0171128 2.37974
H 1.35164 3.03012 0.484019
H 2.56563 5.15899 6.19236
H 8.02254 6.56804 0.0669874
H 2.34255 4.01843 3.69309
H 8.84346 2.5651 7.45731
H 0.977793 4.20096 3.22339
H 7.68187 8.2316 9.67531
H 4.42637 3.49422 8.69235
H 4.35688 4.65191 5.76673
H 2.22253 6.09504 1.41813
H 0.0937819 7.63146 6.51674
H 9.30038 0.304228 3.63472
H 9.95921 9.74379 6.3566
H 0.579943 6.08617 4.39297
H 4.56356 0.0776968 7.0561
H 7.33646 1.2824 1.17968
H 4.85329 2.64744 7.99449
H 0.627663 3.75139 8.53251
H 5.59728 2.30686 0.828131
H 3.4679 3.91455 3.5793
H 3.20844 1.6702 8.92212
H 4.6917 0.0549531 1.3877
H 9.8344 8.91638 5.83548
H 9.65022 4.17868 8.26505
H 3.58305 6.99254 0.823436
H 4.58335 4.36985 2.97364
H 2.41617 2.59614 0.652872
H 3.38286 0.869391 3.43733
H 3.58716 6.36337 9.18004
H 6.1327 4.91467 9.62834
H 0.473031 7.80927 5.65576
H 2.61963 0.00757256 1.66209
H 1.18953 8.89725 3.22705
H 4.52669 3.09876 3.13081
H 0.549083 9.31738 1.59346
H 7.34076 6.71837 8.20587
H 4.11246 5.16811 5.1177
H 3.04384 4.2637 8.05906
H 2.45042 2.65424 1.91192
H 0.124287 2.36033 4.24083
H 4.34955 5.25049 4.31778
H 5.96508 6.22501 8.83544
H 8.51749 1.00558 6.67359
H 9.21155 8.16395 3.65863
H 9.80305 2.90359 4.13994
H 8.51917 2.31814 5.45108
H 1.9187 7.49302 5.44469
H 6.74934 6.60504 7.11906
H 4.34509 0.0779073 9.9764
H 7.77575 3.19097 6.9968
H 7.20776 5.64611 5.29973
H 6.41363 1.5161 0.60959
